"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dp57","Bat Conservation Trust","","Records provided by Bat Conservation Trust, accessed through NBN Atlas website.","","For more information:  email enquiries@bats.org.uk, or https://registry.nbnatlas.org/public/show/dp57","","","","4"
"dp99","Bumblebee Conservation Trust","","Records provided by Bumblebee Conservation Trust, accessed through NBN Atlas website.","","For more information:  email enquiries@bumblebeeconservation.org, or https://registry.nbnatlas.org/public/show/dp99","","","","125"
"dr829","National Dormouse Database (NDD)","doi:10.15468/kcty0c","PTES ([Insert download year]). National Dormouse Database (NDD). Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email emily.thomas@ptes.org, or https://registry.nbnatlas.org/public/show/dr829","","","","11"
"dp97","British Dragonfly Society Recording Scheme","","Records provided by British Dragonfly Society Recording Scheme, accessed through NBN Atlas website.","","For more information:  email secretary@british-dragonflies.org.uk, or https://registry.nbnatlas.org/public/show/dp97","","","","840"
"dr2141","Bryophyte records via iRecord","10.15468/2g3nyq","British Bryological Society Recording Scheme. [Date of download.] Records verified via iRecord.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr2141","","","","1"
"dr1130","Mayfly (Ephemeroptera) records from Britain and Ireland, via iRecord","doi:10.15468/bdmxpk","Records provided by Mayfly (Ephemeroptera) records from Britain and Ireland, via iRecord, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC BY-NC
      		Creative Commons Attribution Non-Commercial","For more information:  https://registry.nbnatlas.org/public/show/dr1130","","","","4"
"dr1570","Calliphoridae data from iRecord","","Records provided by Calliphoridae data from iRecord, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr1570","Most records are recent (post-2012) additions, but there are some older datasets included that have been uploaded for verification purposes in recent years.","","","4"
"dr2142","Coleoptera records from iRecord for families not covered by a recording scheme","10.15468/qah8xl","Biological Records Centre. Coleoptera records from iRecord for families not covered by a recording scheme.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr2142","","","","7"
"dr2382","Birds (BTO+partners) 2016 - 2019","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2382","","","","35701"
"dr2140","Bee, wasp and ant (Hymenoptera: Aculeata) records verified via iRecord","10.15468/idirhy","Biological Records Centre. [Date downloaded]. Bee, wasp and ant (Hymenoptera: Aculeata) records verified via iRecord.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr2140","","","","871"
"dr2421","Soldier Beetles and Allies Recording Scheme - data verified via iRecord","10.15468/7ms3bt","Soldier Beetles and Allies Recording Scheme [date of download]. Records verified via iRecord.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr2421","","","","37"
"dr1571","Chrysomelidae beetle data from iRecord","","Chrysomelidae Recording Scheme ([date downloaded]) Chrysomelidae beetle data from iRecord.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr1571","Most records are recent (post-2012) additions, but there are some older datasets included that have been uploaded for verification purposes in recent years.","","","24"
"dr1572","Longhorn beetle (Cerambycidae) data from iRecord","10.15468/p8f9ww","Records provided by Longhorn beetle (Cerambycidae) data from iRecord, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr1572","Most records are recent (post-2012) additions, but there are some older datasets included that have been uploaded for verification purposes in recent years.","","","16"
"dr1852","Anthomyiidae records via iRecord","10.15468/c5xmi2","Anthomyiidae Recording Scheme ([date of download]) records via iRecord","Creative Commons Zero v1.0 (CC0) CC0
      		Creative Commons Public Domain","For more information:  https://registry.nbnatlas.org/public/show/dr1852","","","","11"
"dr1215","Shieldbug & allied species records, from iRecord","doi:10.15468/axiomi","Shieldbug & allied species records, from iRecord, Terrestrial Heteroptera Recording Scheme (2020)","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email tristanba@googlemail.com, or https://registry.nbnatlas.org/public/show/dr1215","","","","136"
"dr2425","1989-2020 Previously Occupied Swift Nests, UK ","","RSPB ([Insert donload year]). 1989-2020 Previously Occupied Swift Nests, UK. Occurrence dataset on the NBN Atlas","Creative Commons Zero v1.0 (CC0) CCO Data reproduced with the permission of RSPB ","For more information:  https://registry.nbnatlas.org/public/show/dr2425","","","","1"
"dr742","Caddisfly (Trichoptera) records from Britain and Ireland, via iRecord","doi:10.15468/llm4iq","Records provided by Caddisfly (Trichoptera) records from Britain and Ireland, via iRecord, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr742","","","","2"
"dp163","Anthomyiid Recording Scheme","","Records provided by Anthomyiid Recording Scheme, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp163","","","","11"
"dr706","Orthoptera and Allied Insects of the British Isles data from iRecord","10.15468/lyafx9","Orthoptera Recording Scheme ([date of download]) Orthoptera and Allied Insects of the British Isles data from iRecord.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr706","","","","28"
"dp169","Chrysomelidae Recording Scheme","","Records provided by Chrysomelidae Recording Scheme, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp169","","","","24"
"dr227","Living with Mammals survey","doi:10.15468/kv7kgm","People's Trust for Endangered Species Living with Mammals survey (2019)","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email emily.thomas@ptes.org, or https://registry.nbnatlas.org/public/show/dr227","","Further details and reports from the survey can be found at www.ptes.org/lwm","","5"
"dr864","Big Hedgehog Map records","doi:10.15468/omvfyk","People's Trust for Endangered Species ([Insert download year]). Big Hedgehog Map records. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr864","","","","91"
"dp247","UK Cranefly Recording Scheme","","Records provided by UK Cranefly Recording Scheme, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp247","","","","13"
"dp205","Project Splatter","","Records provided by Project Splatter, accessed through NBN Atlas website.","","For more information:  email projectsplatter@gmail.com, or https://registry.nbnatlas.org/public/show/dp205","","","","98"
